Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid
Epinephelus fuscoguttatus	293821	Epinephelus fuscoguttatus	(Fabricius, 1775)	SPECIES	Perca summana fuscoguttata	Forsskal, 1775	brown-marbled grouper	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Perciformes	8111	Serranidae	30871	Epinephelus	94231	Epinephelus fuscoguttatus	293821
Tachysurus vachellii	175792	Tachysurus vachellii	(Richardson, 1846)	SPECIES	Bagrus vachellii	Richardson, 1846		no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Siluriformes	7995	Bagridae	31013	Tachysurus	641818	Tachysurus vachellii	175792
Drosophila miranda	7229	Drosophila miranda	Dobzhansky, 1935	SPECIES				no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Drosophilidae	7214	Drosophila	7215	Drosophila miranda	7229
Perca fluviatilis	8168	Perca fluviatilis	Linnaeus, 1758	SPECIES			European perch	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Perciformes	8111	Percidae	8165	Perca	8166	Perca fluviatilis	8168
Misgurnus anguillicaudatus	75329	Misgurnus anguillicaudatus	(Cantor, 1842)	SPECIES	Cobitis anguillicaudata	Cantor, 1842	oriental weatherfish	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Cypriniformes	7952	Cobitidae	7982	Misgurnus	7983	Misgurnus anguillicaudatus	75329
Pecten maximus	6579	Pecten maximus	(Linnaeus, 1758)	SPECIES	Ostrea maxima	Linnaeus, 1758		no	bivalves	Eukaryota	2759	Metazoa	33208	Mollusca	6447	Bivalvia	6544	Pectinida	106218	Pectinidae	6566	Pecten	6578	Pecten maximus	6579
Kryptolebias marmoratus	37003	Kryptolebias marmoratus	(Poey, 1880)	SPECIES	Rivulus marmoratus	Poey, 1880	mangrove rivulus	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Cyprinodontiformes	28738	Rivulidae	28771	Kryptolebias	326431	Kryptolebias marmoratus	37003
Branchiostoma floridae	7739	Branchiostoma floridae	Hubbs, 1922	SPECIES			Florida lancelet	no	lancelets	Eukaryota	2759	Metazoa	33208	Chordata	7711	Leptocardii	2682552	Amphioxiformes	2682553	Branchiostomatidae	7736	Branchiostoma	7737	Branchiostoma floridae	7739
Tigriopus californicus	6832	Tigriopus californicus	(Baker, 1912)	SPECIES				no	crustaceans	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Hexanauplia	72037	Harpacticoida	41212	Harpacticidae	512265	Tigriopus	6831	Tigriopus californicus	6832
Ursus arctos	9644	Ursus arctos	Linnaeus, 1758	SPECIES			brown bear	no	carnivores	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Carnivora	33554	Ursidae	9632	Ursus	9639	Ursus arctos	9644
Chrysemys picta bellii	8478	Chrysemys picta bellii	(Gray 1831)	SUBSPECIES	Chrysemys bellii	Gray, 1873	western painted turtle	no	turtles	Eukaryota	2759	Metazoa	33208	Chordata	7711			Testudines	8459	Emydidae	8476	Chrysemys	8477	Chrysemys picta	8479
Anopheles arabiensis	7173	Anopheles arabiensis	Patton, 1905	SPECIES				no	mosquitos	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Culicidae	7157	Anopheles	7164	Anopheles arabiensis	7173
