Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid
Mercenaria mercenaria	6596	Mercenaria mercenaria		SPECIES	Venus mercenaria	Linnaeus, 1758		no	bivalves	Eukaryota	2759	Metazoa	33208	Mollusca	6447	Bivalvia	6544	Venerida	6580	Veneridae	6592	Mercenaria	6595	Mercenaria mercenaria	6596
Latimeria chalumnae	7897	Latimeria chalumnae	Smith, 1939	SPECIES			coelacanth	no	coelacanths	Eukaryota	2759	Metazoa	33208	Chordata	7711			Coelacanthiformes	7894	Coelacanthidae	7895	Latimeria	7896	Latimeria chalumnae	7897
Anopheles aquasalis	42839	Anopheles aquasalis	Curry, 1932	SPECIES				no	mosquitos	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Culicidae	7157	Anopheles	7164	Anopheles aquasalis	42839
Hydractinia symbiolongicarpus	13093	Hydractinia symbiolongicarpus	Buss & Yund, 1989	SPECIES				no	hydrozoans	Eukaryota	2759	Metazoa	33208	Cnidaria	6073	Hydrozoa	6074	Anthoathecata	406427	Hydractiniidae	6094	Hydractinia	13092	Hydractinia symbiolongicarpus	13093
Chanos chanos	29144	Chanos chanos		SPECIES	Mugil chanos	Fabricius, 1775	milkfish	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Gonorynchiformes	29140	Chanidae	29142	Chanos	29143	Chanos chanos	29144
Falco cherrug	345164	Falco cherrug	Gray, 1834	SPECIES			Saker falcon	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Falconiformes	8948	Falconidae	8949	Falco	8952	Falco cherrug	345164
Caretta caretta	8467	Caretta caretta	Linnaeus, 1758	SPECIES	Testudo caretta	Linnaeus, 1758	Loggerhead turtle	no	turtles	Eukaryota	2759	Metazoa	33208	Chordata	7711			Testudines	8459	Cheloniidae	8465	Caretta	8466	Caretta caretta	8467
Haemorhous mexicanus	30427	Haemorhous mexicanus		SPECIES	Fringilla mexicana	Statius Muller, 1776	house finch	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Passeriformes	9126	Fringillidae	9133	Haemorhous	1523891	Haemorhous mexicanus	30427
Melopsittacus undulatus	13146	Melopsittacus undulatus	(Shaw, 1805)	SPECIES	Psittacus undulatus	Shaw, 1805	budgerigar	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Psittaciformes	9223	Psittaculidae	1545690	Melopsittacus	13145	Melopsittacus undulatus	13146
Acanthopagrus latus	8177	Acanthopagrus latus	(Houttuyn, 1782)	SPECIES	Sparus latus	Houttuyn, 1782	yellowfin seabream	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Spariformes	1489931	Sparidae	8169	Acanthopagrus	8176	Acanthopagrus latus	8177
Calypte anna	9244	Calypte anna		SPECIES	Ornismya anna	Lesson, 1829	Anna's hummingbird	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Apodiformes	8892	Trochilidae	9242	Calypte	9243	Calypte anna	9244
Ochotona princeps	9978	Ochotona princeps	(Richardson, 1828)	SPECIES	Arvicola princeps	Richardson, 1829	American pika	no	rabbits & hares	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Lagomorpha	9975	Ochotonidae	9976	Ochotona	9977	Ochotona princeps	9978
Drosophila subobscura	7241	Drosophila subobscura	Collin, 1936	SPECIES				no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Drosophilidae	7214	Drosophila	7215	Drosophila subobscura	7241
Venturia canescens	32260	Venturia canescens		SPECIES				no	wasps, ants & bees	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hymenoptera	7399	Ichneumonidae	7408	Venturia	92443	Venturia canescens	32260
Crassostrea angulata	558553	Crassostrea angulata	(Lamarck, 1819)	SPECIES				no	bivalves	Eukaryota	2759	Metazoa	33208	Mollusca	6447	Bivalvia	6544	Ostreida	6562	Ostreidae	6563	Crassostrea	6564	Crassostrea angulata	558553
Drosophila willistoni	7260	Drosophila willistoni	Sturtevant, 1916	SPECIES				no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Drosophilidae	7214	Drosophila	7215	Drosophila willistoni	7260
Acipenser ruthenus	7906	Acipenser ruthenus	Linnaeus, 1758	SPECIES			sterlet	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Acipenseriformes	7899	Acipenseridae	7900	Acipenser	7901	Acipenser ruthenus	7906
Electrophorus electricus	8005	Electrophorus electricus		SPECIES	Gymnotus electricus	Linnaeus, 1766	electric eel	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Gymnotiformes	8002	Gymnotidae	30771	Electrophorus	8004	Electrophorus electricus	8005
Anabas testudineus	64144	Anabas testudineus	(Bloch, 1792)	SPECIES	Anthias testudineus	Bloch, 1792	climbing perch	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Anabantiformes	1489900	Anabantidae	64142	Anabas	64143	Anabas testudineus	64144
Sander lucioperca	283035	Sander lucioperca	(Linnaeus, 1758)	SPECIES	Perca lucioperca	Linnaeus, 1758	pikeperch	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Perciformes	8111	Percidae	8165	Sander	283033	Sander lucioperca	283035
Anguilla rostrata	7938	Anguilla rostrata	(Lesueur, 1817)	SPECIES	Muraena rostrata	Lesueur, 1817	American eel	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Anguilliformes	7933	Anguillidae	7934	Anguilla	7935	Anguilla rostrata	7938
Cyclopterus lumpus	8103	Cyclopterus lumpus	Linnaeus, 1758	SPECIES			lumpfish	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Perciformes	8111	Cyclopteridae	8101	Cyclopterus	8102	Cyclopterus lumpus	8103
Polypterus senegalus	55291	Polypterus senegalus	Cuvier, 1829	SPECIES			gray bichir	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Cladistia	1338366	Polypteriformes	8288	Polypteridae	8289	Polypterus	8290	Polypterus senegalus	55291
Ooceraea biroi	2015173	Ooceraea biroi	(Forel, 1907)	SPECIES			clonal raider ant	no	ants	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hymenoptera	7399	Formicidae	36668	Ooceraea	2015172	Ooceraea biroi	2015173
Ornithodoros turicata	34597	Ornithodoros turicata	(Duges, 1876)	SPECIES				no	mites & ticks	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Arachnida	6854	Ixodida	6935	Argasidae	6936	Ornithodoros	6937	Ornithodoros turicata	34597
Solea solea	90069	Solea solea	(Linnaeus, 1758)	SPECIES	Pleuronectes solea	Linnaeus, 1758	common sole	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Pleuronectiformes	8252	Soleidae	30948	Solea	28828	Solea solea	90069
Alosa sapidissima	34773	Alosa sapidissima	(Wilson, 1811)	SPECIES	Clupea sapidissima	Wilson, 1811	American shad	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Clupeiformes	32446	Clupeidae	55118	Alosa	34772	Alosa sapidissima	34773
Maylandia zebra	106582	Maylandia zebra	(Boulenger, 1899)	SPECIES			zebra mbuna	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Cichliformes	1489911	Cichlidae	8113	Maylandia	143623	Maylandia zebra	106582
Dreissena polymorpha	45954	Dreissena polymorpha	(Pallas, 1771)	SPECIES	Mytilus polymorphus	Pallas, 1771		no	bivalves	Eukaryota	2759	Metazoa	33208	Mollusca	6447	Bivalvia	6544	Myida	278205	Dreissenidae	45950	Dreissena	45951	Dreissena polymorpha	45954
Phlebotomus papatasi	29031	Phlebotomus papatasi	(Scopoli, 1786)	SPECIES				no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Psychodidae	7197	Phlebotomus	13203	Phlebotomus papatasi	29031
Hypomesus transpacificus	137520	Hypomesus transpacificus	McAllister, 1963	SPECIES				no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Osmeriformes	41711	Osmeridae	8012	Hypomesus	137519	Hypomesus transpacificus	137520
Physeter catodon	9755	Physeter catodon	Linnaeus, 1758	SPECIES			sperm whale	no	whales & dolphins	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Artiodactyla	91561	Physeteridae	9750	Physeter	9753	Physeter catodon	9755
Chiloscyllium plagiosum	36176	Chiloscyllium plagiosum	(Anonymous [Bennett], 1830)	SPECIES	Scyllium plagiosum	Anonymous, 1830	whitespotted bambooshark	yes	sharks & rays	Eukaryota	2759	Metazoa	33208	Chordata	7711	Chondrichthyes	7777	Orectolobiformes	30503	Hemiscylliidae	40580	Chiloscyllium	34767	Chiloscyllium plagiosum	36176
Perognathus longimembris pacificus	214514	Perognathus longimembris pacificus	Mearns, 1898	SUBSPECIES			Pacific pocket mouse	no	rodents	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Rodentia	9989	Heteromyidae	10015	Perognathus	37442	Perognathus longimembris	38669
Anastrepha obliqua	95512	Anastrepha obliqua	(Macquart, 1835)	SPECIES	Tephritis obliqua	Macquart, 1835		no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Tephritidae	7211	Anastrepha	28585	Anastrepha obliqua	95512
Meles meles	9662	Meles meles		SPECIES	Ursus meles	Linnaeus, 1758	Eurasian badger	no	carnivores	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Carnivora	33554	Mustelidae	9655	Meles	9661	Meles meles	9662
Chrysoperla carnea	189513	Chrysoperla carnea	(Stephens, 1836)	SPECIES	Chrysopa carnea			no	insects	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Neuroptera	7516	Chrysopidae	7520	Chrysoperla	7521	Chrysoperla carnea	189513
Orcinus orca	9733	Orcinus orca	(Linnaeus, 1758)	SPECIES			killer whale	no	whales & dolphins	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Artiodactyla	91561	Delphinidae	9726	Orcinus	9732	Orcinus orca	9733
Myxocyprinus asiaticus	70543	Myxocyprinus asiaticus		SPECIES	Carpiodes asiaticus	Bleeker, 1864	Chinese sucker	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Cypriniformes	7952	Catostomidae	7968	Myxocyprinus	70542	Myxocyprinus asiaticus	70543
Clarias gariepinus	13013	Clarias gariepinus	(Burchell, 1822)	SPECIES	Silurus gariepinus	Burchell, 1822	North African catfish	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Siluriformes	7995	Clariidae	31009	Clarias	13012	Clarias gariepinus	13013
Zalophus californianus	9704	Zalophus californianus		SPECIES	Otaria californiana	Lesson, 1828	California sea lion	no	carnivores	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Carnivora	33554	Otariidae	9702	Zalophus	9703	Zalophus californianus	9704
Lutra lutra	9657	Lutra lutra		SPECIES			Eurasian river otter	no	carnivores	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Carnivora	33554	Mustelidae	9655	Lutra	9656	Lutra lutra	9657
Lytechinus pictus	7653	Lytechinus pictus		SPECIES			painted urchin	no	sea urchins	Eukaryota	2759	Metazoa	33208	Echinodermata	7586	Echinoidea	7625	Temnopleuroida	31184	Toxopneustidae	31185	Lytechinus	7652	Lytechinus pictus	7653
Thunnus maccoyii	8240	Thunnus maccoyii	(Castelnau, 1872)	SPECIES	Thynnus maccoyii	Castelnau, 1872	southern bluefin tuna	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Scombriformes	1489894	Scombridae	8224	Thunnus	8234	Thunnus maccoyii	8240
Anopheles albimanus	7167	Anopheles albimanus	Wiedemann, 1820	SPECIES				no	mosquitos	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Culicidae	7157	Anopheles	7164	Anopheles albimanus	7167
Agelaius phoeniceus	39638	Agelaius phoeniceus	(Linnaeus, 1766)	SPECIES	Oriolus phoeniceus	Linnaeus, 1766	red-winged blackbird	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Passeriformes	9126	Icteridae	164646	Agelaius	9190	Agelaius phoeniceus	39638
Colius striatus	57412	Colius striatus	Gmelin, 1789	SPECIES			speckled mousebird	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Coliiformes	57384	Coliidae	57385	Colius	57409	Colius striatus	57412
Pieris brassicae	7116	Pieris brassicae	(Linnaeus, 1758)	SPECIES	Papilio brassicae	Linnaeus, 1758	large cabbage white	no	butterflies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Lepidoptera	7088	Pieridae	7114	Pieris	7115	Pieris brassicae	7116
Cuculus canorus	55661	Cuculus canorus	Linnaeus, 1758	SPECIES			common cuckoo	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Cuculiformes	8940	Cuculidae	8941	Cuculus	33592	Cuculus canorus	55661
Schistosoma haematobium	6185	Schistosoma haematobium		SPECIES				no	flatworms	Eukaryota	2759	Metazoa	33208	Platyhelminthes	6157	Trematoda	6178	Strigeidida	6180	Schistosomatidae	31245	Schistosoma	6181	Schistosoma haematobium	6185
Pararge aegeria	116150	Pararge aegeria	(Linnaeus, 1758)	SPECIES	Papilio aegeria	Linnaeus, 1758	speckled wood butterfly	no	butterflies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Lepidoptera	7088	Nymphalidae	33415	Pararge	111932	Pararge aegeria	116150
Rhea pennata	8795	Rhea pennata	d'Orbigny, 1834	SPECIES	Pterocnemia pennata	d'Orbigny, 1834		no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Rheiformes	8792	Rheidae	8793	Rhea	8796	Rhea pennata	8795
Dryobates pubescens	118200	Dryobates pubescens	(Linnaeus, 1766)	SPECIES	Picoides pubescens	(Linnaeus, 1766)	Downy woodpecker	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Piciformes	9219	Picidae	9220	Dryobates	1517830	Dryobates pubescens	118200
Accipiter gentilis	8957	Accipiter gentilis	(Linnaeus, 1758)	SPECIES	Falco gentilis	Linnaeus, 1758	Northern goshawk	no	hawks & eagles	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Accipitriformes	2558200	Accipitridae	56259	Accipiter	8956	Accipiter gentilis	8957
Falco rusticolus	120794	Falco rusticolus	Linnaeus, 1758	SPECIES			gyrfalcon	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Falconiformes	8948	Falconidae	8949	Falco	8952	Falco rusticolus	120794
Rhopalosiphum padi	40932	Rhopalosiphum padi	(Linnaeus, 1758)	SPECIES			bird cherry-oat aphid	no	aphids	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hemiptera	7524	Aphididae	27482	Rhopalosiphum	40931	Rhopalosiphum padi	40932
Sciurus carolinensis	30640	Sciurus carolinensis	Gmelin, 1788	SPECIES			gray squirrel	no	rodents	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Rodentia	9989	Sciuridae	55153	Sciurus	10001	Sciurus carolinensis	30640
Arvicanthis niloticus	61156	Arvicanthis niloticus	(Geoffrey, 1803)	SPECIES	Mus niloticus	Geoffroy, 1803	Nile rat	no	rodents	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Rodentia	9989	Muridae	10066	Arvicanthis	61153	Arvicanthis niloticus	61156
Xiphophorus maculatus	8083	Xiphophorus maculatus	(Günther, 1866)	SPECIES	Platypoecilus maculatus	Gunther, 1866	southern platyfish	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Cyprinodontiformes	28738	Poeciliidae	8079	Xiphophorus	8082	Xiphophorus maculatus	8083
Eleginops maclovinus	56733	Eleginops maclovinus		SPECIES	Eleginus maclovinus	Cuvier, 1830	Patagonian blennie	yes	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Perciformes	8111	Eleginopidae	166260	Eleginops	56732	Eleginops maclovinus	56733
Athalia rosae	37344	Athalia rosae	(Linnaeus, 1758)	SPECIES			coleseed sawfly	no	hymenopterans	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hymenoptera	7399	Athaliidae	2982298	Athalia	37343	Athalia rosae	37344
Microplitis demolitor	69319	Microplitis demolitor		SPECIES				no	wasps, ants & bees	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hymenoptera	7399	Braconidae	7402	Microplitis	51538	Microplitis demolitor	69319
Catharus ustulatus	91951	Catharus ustulatus		SPECIES	Turdus ustulatus	Nuttall, 1840	Swainson's thrush	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Passeriformes	9126	Turdidae	9183	Catharus	9184	Catharus ustulatus	91951
Takifugu flavidus	433684	Takifugu flavidus	(Li, Wang & Wang, 1975)	SPECIES	Fugu flavidus	Li, Wang & Wang, 1975	sansaifugu	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Tetraodontiformes	31022	Tetraodontidae	31031	Takifugu	31032	Takifugu flavidus	433684
Oreochromis aureus	47969	Oreochromis aureus	(Steindachner, 1864)	SPECIES	Chromis aureus	Steindachner, 1864		yes	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Cichliformes	1489911	Cichlidae	8113	Oreochromis	8139	Oreochromis aureus	47969
Microplitis mediator	375433	Microplitis mediator	(Haliday, 1834)	SPECIES	Microgaster mediator			no	wasps, ants & bees	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hymenoptera	7399	Braconidae	7402	Microplitis	51538	Microplitis mediator	375433
Sorex araneus	42254	Sorex araneus	Linnaeus, 1758	SPECIES			European shrew	no	insectivores	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Eulipotyphla	9362	Soricidae	9376	Sorex	9379	Sorex araneus	42254
Aphidius gifuensis	684658	Aphidius gifuensis	Ashmead, 1906	SPECIES				no	wasps, ants & bees	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hymenoptera	7399	Braconidae	7402	Aphidius	37852	Aphidius gifuensis	684658
Wyeomyia smithii	174621	Wyeomyia smithii	(Coquillett, 1901)	SPECIES	Aedes smithii	Coquillett, 1901	pitcher-plant mosquito	no	mosquitos	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Culicidae	7157	Wyeomyia	174620	Wyeomyia smithii	174621
Anopheles merus	30066	Anopheles merus	Donitz, 1902	SPECIES				no	mosquitos	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Culicidae	7157	Anopheles	7164	Anopheles merus	30066
Anoplopoma fimbria	229290	Anoplopoma fimbria	(Pallas, 1814)	SPECIES	Gadus fimbria	Pallas, 1814	sablefish	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Perciformes	8111	Anoplopomatidae	30988	Anoplopoma	229289	Anoplopoma fimbria	229290
Bradysia coprophila	38358	Bradysia coprophila		SPECIES				no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Sciaridae	7184	Bradysia	35571	Bradysia coprophila	38358
Platichthys flesus	8260	Platichthys flesus	(Linnaeus, 1758)	SPECIES	Pleuronectes flesus	Linnaeus, 1758	European flounder	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Pleuronectiformes	8252	Pleuronectidae	8256	Platichthys	8259	Platichthys flesus	8260
Armigeres subalbatus	124917	Armigeres subalbatus	(Coquillett, 1898)	SPECIES	Culex subalbatus			no	mosquitos	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Culicidae	7157	Armigeres	124916	Armigeres subalbatus	124917
Strongyloides ratti	34506	Strongyloides ratti		SPECIES				no	nematodes	Eukaryota	2759	Metazoa	33208	Nematoda	6231	Chromadorea	119089	Rhabditida	6236	Strongyloididae	6246	Strongyloides	6247	Strongyloides ratti	34506
Stomoxys calcitrans	35570	Stomoxys calcitrans		SPECIES			stable fly	no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Muscidae	7366	Stomoxys	35569	Stomoxys calcitrans	35570
Oncorhynchus gorbuscha	8017	Oncorhynchus gorbuscha	(Walbaum, 1792)	SPECIES	Salmo gorbuscha	Walbaum, 1792	pink salmon	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Salmoniformes	8006	Salmonidae	8015	Oncorhynchus	8016	Oncorhynchus gorbuscha	8017
Lethenteron reissneri	7753	Lethenteron reissneri	(Dybowski, 1869)	SPECIES	Petromyzon reissneri	Dybowski, 1869	Far Eastern brook lamprey	no	lampreys	Eukaryota	2759	Metazoa	33208	Chordata	7711	Hyperoartia	117569	Petromyzontiformes	7745	Petromyzontidae	7746	Lethenteron	94988	Lethenteron reissneri	7753
Sardina pilchardus	27697	Sardina pilchardus	(Walbaum, 1792)	SPECIES	Clupea pilchardus	Walbaum, 1792	sardine	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Clupeiformes	32446	Clupeidae	55118	Sardina	27696	Sardina pilchardus	27697
Numida meleagris	8996	Numida meleagris	(Linnaeus, 1758)	SPECIES	Phasianus meleagris	Linnaeus, 1758	helmeted guineafowl	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Galliformes	8976	Numididae	8990	Numida	8995	Numida meleagris	8996
Microcebus murinus	30608	Microcebus murinus		SPECIES			gray mouse lemur	no	primates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Primates	9443	Cheirogaleidae	30615	Microcebus	13149	Microcebus murinus	30608
Lepisosteus oculatus	7918	Lepisosteus oculatus	Winchell, 1864	SPECIES			spotted gar	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Semionotiformes	7914	Lepisosteidae	7915	Lepisosteus	7916	Lepisosteus oculatus	7918
Lucilia cuprina	7375	Lucilia cuprina	(Wiedemann, 1830)	SPECIES			Australian sheep blowfly	no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Calliphoridae	7371	Lucilia	7374	Lucilia cuprina	7375
Teleopsis dalmanni	139649	Teleopsis dalmanni	(Wiedemann, 1830)	SPECIES				no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Diopsidae	139644	Teleopsis	139679	Teleopsis dalmanni	139649
Rhincodon typus	259920	Rhincodon typus	Smith, 1828	SPECIES			whale shark	no	sharks & rays	Eukaryota	2759	Metazoa	33208	Chordata	7711	Chondrichthyes	7777	Orectolobiformes	30503	Rhincodontidae	259919	Rhincodon	1849765	Rhincodon typus	259920
Lagopus muta	64668	Lagopus muta	(Montin, 1781)	SPECIES	Tetrao mutus	Montin, 1781	rock ptarmigan	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Galliformes	8976	Phasianidae	9005	Lagopus	30409	Lagopus muta	64668
Zonotrichia leucophrys gambelii	257770	Zonotrichia leucophrys gambelii		SUBSPECIES				no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Passeriformes	9126	Passerellidae	1729112	Zonotrichia	44387	Zonotrichia leucophrys	44393
Balaenoptera acutorostrata	9767	Balaenoptera acutorostrata	Lacépède, 1804	SPECIES			minke whale	no	whales & dolphins	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Artiodactyla	91561	Balaenopteridae	9765	Balaenoptera	9766	Balaenoptera acutorostrata	9767
Hippopotamus amphibius kiboko	575201	Hippopotamus amphibius kiboko		SUBSPECIES				no	even-toed ungulates & whales	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Artiodactyla	91561	Hippopotamidae	9831	Hippopotamus	9832	Hippopotamus amphibius	9833
Anthonomus grandis grandis	2921223	Anthonomus grandis grandis		SUBSPECIES				no	beetles	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Coleoptera	7041	Curculionidae	7042	Anthonomus	7043	Anthonomus grandis	7044
Equus quagga	89248	Equus quagga	Boddaert, 1785	SPECIES				no	odd-toed ungulates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Perissodactyla	9787	Equidae	9788	Equus	9789	Equus quagga	89248
Bubalus kerabau	3119969	Bubalus kerabau	Fitzinger, 1860	SPECIES			carabao	no	even-toed ungulates & whales	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Artiodactyla	91561	Bovidae	9895	Bubalus	9918	Bubalus kerabau	3119969
Neofelis nebulosa	61452	Neofelis nebulosa	(Griffith, 1821)	SPECIES	Felis nebulosa	Griffith, 1821	Clouded leopard	no	carnivores	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Carnivora	33554	Felidae	9681	Neofelis	61451	Neofelis nebulosa	61452
Eptesicus fuscus	29078	Eptesicus fuscus	(Palisot de Beauvois, 1796)	SPECIES	Vespertilio fuscus	Palisot de Beauvois, 1796	big brown bat	no	bats	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Chiroptera	9397	Vespertilionidae	9431	Eptesicus	29077	Eptesicus fuscus	29078
Lepus europaeus	9983	Lepus europaeus	Pallas, 1778	SPECIES			European hare	no	rabbits & hares	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Lagomorpha	9975	Leporidae	9979	Lepus	9980	Lepus europaeus	9983
Kogia breviceps	27615	Kogia breviceps		SPECIES	Physeter breviceps	Blainville, 1838	pygmy sperm whale	no	whales & dolphins	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Artiodactyla	91561	Physeteridae	9750	Kogia	9751	Kogia breviceps	27615
Nycticebus coucang	9470	Nycticebus coucang	(Boddaert, 1785)	SPECIES	Tardigradus coucang	Boddaert, 1784	slow loris	no	primates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Primates	9443	Lorisidae	9461	Nycticebus	9469	Nycticebus coucang	9470
Dromiciops gliroides	33562	Dromiciops gliroides	Thomas, 1894	SPECIES			monito del monte	no	marsupials	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Microbiotheria	38607	Microbiotheriidae	30660	Dromiciops	33561	Dromiciops gliroides	33562
Anopheles nili	185578	Anopheles nili		SPECIES	Myzomyia nili	Theobald, 1904		no	mosquitos	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Culicidae	7157	Anopheles	7164	Anopheles nili	185578
